,Date,Adilabad_Temp,Adilabad_Upper_Limit,Adilabad_Lower_Limit,Adilabad_HeatWave,Karimnagar_Temp,Karimnagar_Upper_Limit,Karimnagar_Lower_Limit,Karimnagar_HeatWave,Khammam_Temp,Khammam_Upper_Limit,Khammam_Lower_Limit,Khammam_HeatWave,Nizamabad_Temp,Nizamabad_Upper_Limit,Nizamabad_Lower_Limit,Nizamabad_HeatWave,Warangal_Temp,Warangal_Upper_Limit,Warangal_Lower_Limit,Warangal_HeatWave
0,30-09-2022,31.88487,35.22321547,28.54652559,0,32.052147,34.55493426,29.54935957,0,34.98861,37.31049676,32.66672187,0,31.20318,34.4497361,27.95662452,0,35.300175,43.96132661,26.63902282,2
1,01-10-2022,31.881838,35.22003077,28.54364492,0,32.052452,34.55512546,29.54977871,0,34.960014,37.28179606,32.63823263,0,31.494152,34.74056002,28.24774412,0,35.32218,43.9829392,26.66142421,2
2,02-10-2022,31.860432,35.19847342,28.52238992,0,31.891212,34.3937725,29.38865242,0,34.78039,37.10206826,32.45871512,0,31.332174,34.57843523,28.08591337,0,35.229443,43.88980788,26.56907732,2
3,03-10-2022,31.859539,35.19743045,28.52164762,0,31.791256,34.29370328,29.28880862,0,34.11665,36.43822164,31.79507762,0,30.792437,34.03855133,27.54632187,0,35.412605,44.07258054,26.75263003,2
4,04-10-2022,31.841833,35.17957504,28.50409119,0,31.74349,34.24582548,29.24115496,0,34.299465,36.62093322,31.97799714,0,31.226112,34.47208172,27.98014301,0,35.498085,44.15767243,26.83849761,2
5,05-10-2022,31.842506,35.18009969,28.50491313,0,31.64918,34.15140328,29.14695564,0,34.78129,37.1026528,32.4599235,0,30.764301,34.0101261,27.5184765,0,35.534504,44.19370569,26.87530218,2
6,06-10-2022,31.836533,35.17397807,28.49908712,0,31.744595,34.24670758,29.24248157,0,34.83468,37.1559405,32.5134168,0,30.663574,33.90925527,27.41789316,0,35.546154,44.20497231,26.88733574,2
7,07-10-2022,31.83397,35.17126763,28.4966706,0,32.14865,34.65065395,29.64664829,0,34.69302,37.0141795,32.37186023,0,31.197336,34.44287433,27.95179806,0,35.405117,44.06355404,26.74668003,2
8,08-10-2022,31.837177,35.17432967,28.50002488,0,31.824493,34.32638669,29.32260012,0,34.84458,37.16563961,32.5235236,0,30.748667,33.9940628,27.50327073,0,35.7082,44.36625645,27.05014064,2
9,09-10-2022,31.845053,35.18205984,28.5080456,0,32.163414,34.66519837,29.66162963,0,34.999226,37.32018258,32.67826865,0,30.978416,34.2236712,27.73316169,0,35.4576,44.11528064,26.79991864,2
10,10-10-2022,31.840738,35.17760099,28.50387561,0,32.019848,34.52152396,29.51817178,0,34.664486,36.98534244,32.34362942,0,31.516987,34.76210114,28.27187255,0,35.385326,44.04263267,26.7280201,2
